cost,thr_avg,thr_sd,d_LME_Age_AIC,d_LME_AgeSex_AIC,d_GAMM_sAge_AIC,d_GAMM_sAgeSex_AIC,d_GAMM_loPDS_AIC,d_GAMM_loPDSSex_AIC,c_LME_Age_AIC,c_LME_AgeSex_AIC,c_GAMM_sAge_AIC,c_GAMM_sAgeSex_AIC,c_GAMM_loPDS_AIC,c_GAMM_loPDSSex_AIC,l_LME_Age_AIC,l_LME_AgeSex_AIC,l_GAMM_sAge_AIC,l_GAMM_sAgeSex_AIC,l_GAMM_loPDS_AIC,l_GAMM_loPDSSex_AIC,e_LME_Age_AIC,e_LME_AgeSex_AIC,e_GAMM_sAge_AIC,e_GAMM_sAgeSex_AIC,e_GAMM_loPDS_AIC,e_GAMM_loPDSSex_AIC
0.34,0.141696435984346,0.0125644261054764,667.088657541224,669.886103287222,663.390931930773,671.288199046158,647.413191454617,654.182936038036,-609.559366216899,-606.518926584963,-611.681652561925,-604.591992418713,-623.590591902927,-617.906343492087,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.35,0.132189261032711,0.0120380453052675,670.150867437195,672.955969989611,666.465951311078,674.396979618501,650.446722824824,657.244787072036,-614.052070421803,-610.980230610086,-616.268478916391,-609.169635993825,-628.04311113341,-622.521051359455,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.36,0.122848476223513,0.0113667481409975,673.005341378777,675.819334656444,669.334227884753,677.301867246171,653.279581758123,660.097408066839,-618.27615854721,-615.208634754694,-620.460930655452,-613.30956357378,-632.578972020005,-626.708701327452,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.37,0.113527007542921,0.0107275353785263,675.641028204906,678.464548997578,671.987340826982,679.992174714573,655.898443116161,662.734190510262,-622.758372660545,-619.638937622065,-624.904071571292,-617.680327525298,-636.883969280894,-631.182275685573,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.38,0.104332750033853,0.010177693102382,678.061989031809,680.895576548781,674.428316420752,682.469567577009,658.300849381421,665.156911413172,-627.817504027299,-624.72922306169,-630.065919593114,-622.751346350831,-642.007746678804,-636.524562579088,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.39,0.0951016418979165,0.00960023873810101,680.278981674281,683.123796394106,676.669189302968,684.745696945923,660.500700365079,667.377421171172,-632.724549892615,-629.635381665625,-634.915874998419,-627.587692682196,-647.061400846714,-641.389033849694,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.4,0.0860153207803079,0.00908264633582271,682.329142236777,685.185819249572,678.742430824482,686.854740294454,662.53654973397,669.43401059372,-637.477844864469,-634.363860753266,-639.699828259131,-632.34438258517,-652.027110135731,-646.263966537722,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.41,0.0770160332795152,0.00853601917206028,684.194496880654,687.062148244306,680.630641241061,688.777607537809,664.40490112394,671.313298488377,-642.594050464201,-639.462129741053,-644.766301800805,-637.386121798135,-657.180702877059,-651.552582596474,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.42,0.0679365375336305,0.00796687890442075,685.874792685559,688.754666080657,682.338636169664,690.516343640963,666.102018837521,673.019490398692,-646.793546312919,-643.634981834874,-648.916259090807,-641.449241405439,-661.359620527749,-655.659407444245,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.43,0.0590366908163844,0.00748327560818722,687.377566494253,690.268809316141,683.869811024801,692.077190473622,667.62514027776,674.54841687758,-651.568023585544,-648.440984795866,-653.673960286674,-646.278490039861,-666.046789544436,-660.338513797374,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.44,0.0500952523646199,0.0069689665042305,688.704548298787,691.607562895304,685.22309659771,693.46170158423,668.974195739244,675.902587447114,-656.791508830126,-653.680308595102,-658.967953594509,-651.514507526377,-671.162504319048,-665.614537080488,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.45,0.0412544768939974,0.00649106202156741,689.84856227235,692.762852370799,686.39491219825,694.663568025508,670.143038512704,677.07449483494,-661.687359906222,-658.582121819965,-663.828912084267,-656.390248764705,-676.062587377785,-670.574559795395,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.46,0.0324565903043077,0.0061220500257685,690.818808565381,693.743635498287,687.391967432533,695.688854863135,671.1399202313,678.070424966608,-666.426497225684,-663.300697845411,-668.532681462331,-661.065666290383,-680.797934849141,-675.304312229539,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.47,0.0236220731906403,0.00573937804793618,691.62946122212,694.564072820848,688.229515469911,696.552775793106,671.994998079051,678.913122173428,-671.815061777944,-668.68762718212,-673.96202363812,-666.435763865795,-686.218156032954,-680.767885847788,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
0.48,0.0148638623063953,0.00541937154433679,692.273192196542,695.217487132436,688.906049175964,697.250825879071,672.692791013561,679.597081846064,-677.397313162469,-674.259642259299,-679.578124904988,-672.012377264332,-691.902116578009,-686.331940278115,-176.41945517086,-174.605150118367,-178.42071000065,-173.028195883832,-211.90985376184,-205.350263624782,-782.435479507379,-780.035136340787,-786.105336701316,-779.44768466682,-798.676314866201,-795.680621742967
